tabphyname,colsequence,colphyname,collogname,collabel,logicaldatatype,notnull,fieldsize,precision,minimum,maximum,uom,domainname,coldesc
MUPOINT,3,MUSYM,mapunit_symbol,Map Unit Symbol,String,Yes,6,,,,,,The symbol used to uniquely identify the soil mapunit in the soil survey.
MUPOINT,4,MUKEY,mapunit_key,Map Unit Key,Long,Yes,,,,,,,A non-connotative string of characters used to uniquely identify a record in the Mapunit table.
MUPOLYGON,1,AREASYMBOL,area_symbol,Area Symbol,String,Yes,10,,,,,,"A symbol that uniquely identifies a single occurrence of a particular type of area (e.g. Lancaster Co., Nebraska is NE109)."
MUPOLYGON,2,SPATIALVER,spatial_version,Spatial Version,Short,No,,,,,,,A sequential integer number used to denote the serial version of the spatial data for a soil survey area.
MUPOLYGON,3,MUSYM,mapunit_symbol,Map Unit Symbol,String,Yes,6,,,,,,The symbol used to uniquely identify the soil mapunit in the soil survey.
MUPOLYGON,4,MUKEY,mapunit_key,Map Unit Key,Long,Yes,,,,,,,A non-connotative string of characters used to uniquely identify a record in the Mapunit table.
SAPOLYGON,1,AREASYMBOL,area_symbol,Area Symbol,String,Yes,10,,,,,,"A symbol that uniquely identifies a single occurrence of a particular type of area (e.g. Lancaster Co., Nebraska is NE109)."
SAPOLYGON,2,SPATIALVER,spatial_version,Spatial Version,Short,No,,,,,,,A sequential integer number used to denote the serial version of the spatial data for a soil survey area.
SAPOLYGON,3,LKEY,legend_key,Legend Key,Long,Yes,,,,,,,A non-connotative string of characters used to uniquely identify a record in the Legend table.
version,1,type,type,Type,String,No,25,,,,,,General category of the versioned item.
version,2,name,name,Name,String,Yes,50,,,,,,"Name or label of the application, tool, or datasource."
version,3,version,version,Version,String,No,10,,,,,,Version number.
