classtxt,classkey
Soil Does Not have Densic Materials or high bulk densities  in the profile,260
If drained,261
Moderately - soil moisture regime,262
Provisionally Suitable - Slope 23-30%,263
Soil slippage,264
Soil Has a Very Suitable Soil Water Content,265
Index value of surface texture,266
"YES, NP(W)FSG-001 Clayey",267
Low PM2.5,268
Content of stones and boulders,269
Texture/slope/surface depth/rock fragments,270
Not rated; soil taxonomic class,271
Texture of surface horizon,272
Suitable - Group V: Rock 35-50%,273
Ssalinity,274
Moderate resistance for surface structure size,275
Sand content,276
"Not rated, ph",277
Permafrost,278
Soil Has a Marginally Suitable Soil Depth,279
Content of large stones,280
K factor >= .32,281
Frost-free period too long or short - Somewhat suited,282
No permafrost present,283
Soil Has a Somewhat Suitable Soil Water Content,284
AASHTO GI < 5 or is NULL,285
Nearly level,286
Unsuitable - Fragments 61-100%,287
high soil permeability requires Texas CEQ review,288
Somewhat - sodicity,289
Moderately high soil temperatures,290
Glacic taxonomic subgroup,291
Saturated Hydraulic Conductivity (KSAT),292
Mean annual precipitation,293
Available water capacity,294
Probable,295
Silt content of surface,296
IISc,297
Moderately suited,298
Not rated; Fragments 75 to 250,299
Not too cobbly,300
Soil water limiting,301
"Not rated, fragments <20 inches",302
Aluminum Saturation (very Limited),303
"Drainage class, water table",304
Low bioaccumulation potential,305
"Bioavailability due to CEC, pH, or organic sorption",306
Depth to perched zone of saturation,307
Too acid or too alkaline,308
Moderately Suited,309
Not rated; Fragments 75 to 250mm,310
Unusable - Organic,311
"Unsuitable - Fragic Layer 0-24""",312
42,313
"Depth to water table, ponding",314
Undulating to moderately sloping,315
Less suited,316
100,317
WT 10 - 15 cm - Somewhat Suited,318
Somewhat - abrupt boundary,319
Windswept,320
"Seepage, bottom layer",321
Soil Does Not meet Prime Farmland C.F. criteria,322
Content of carbonates,323
Moderately low irrigated productivity,324
Moderate subsidence,325
Exchangeable sodium,326
C-3,327
Permafrost depth,328
"Available water capacity: 3-8""",329
30-60cm to water table for >=6mos,330
Not rated; Clay percent,331
"~large stones >10"" (>35%) 0-36""",332
CTSG 6D,333
Sand and rock,334
poorly suited - pH,335
Rutting in May,336
Well suited - low sodicity,337
"Subgelic, MAAT <-3 degrees C, loamy-skeletal <=75 cm",338
"FSG-NP(W)-014-Deep Subirr, Mod. Saline",339
Slightly Gravelly Group,340
Slope direction and gradient,341
Unusable-Watertable,342
Vegetation Not Supported,343
No soil,344
Long ponding,345
"~bedrock 20-40""",346
85,347
Soil Meets Prime Criteria,348
Not rated; large stones,349
Slope not allowed,350
"Not rated, fragments >10",351
CTSG 6GA,352
Ksat,353
Acidic soil reaction,354
FSG-NP(W)-034-Wet,355
Not rated; Clay percent or organic matter,356
Not rated; Surface clay,357
Wetness,358
pH above/below optimal - Somewhat suited,359
Slope 0-25%; see land cover criteria,360
"Not rated, MLRA is null",361
"Unsuitable - Water Table: 0-24""",362
Low water storage,363
Not rated; Taxonomic Order,364
Moderately low,365
CTSG 7A,366
"Not rated, available water capacity is null",367
130,368
Depth to dense material,369
Adequate percolation,370
Not Rated; Ksat,371
Not rated; Ksat,372
CTSG 2,373
Voided fragments,374
"~high water table, perched (winter-early spring)",375
OM depletion moderate,376
"=>15% by weight, >10 inch fragments in 0-36 inches",377
Grade 5 - Very Poor,378
Large stone content,379
"Unsuitable - Platy or Massive  <24""",380
Depth to bedrock or duripan is more than 10 inches,381
Frags: >15%,382
17,383
K factor,384
Excess gypsum,385
"=>15% by weight, fragments >10 inches in 0-24 inches",386
Floods frequently,387
Rutting in June,388
40,389
"YES, NP(W)FSG-003 Clayey, Dry",390
Potential seasonal high water table,391
Unsuitable - Moderately Rapid Permeability,392
Not rated - Ksat,393
Water spreading surface,394
"No potential, no permafrost or non-hydric soil",395
OM depletion low,396
44,397
Provisionally Suitable - Weighted clay 30-35,398
10 to 24 inches to cemented pan,399
Not Rated (too alkaline),400
~slope 10-15%,401
Poor salinity levels,402
"Percolation not fast enough 12-36""; see criteria",403
50%,404
Low suitability,405
IIHr,406
"Not rated, external factors",407
"YES, NP(W)FSG-034 Wet",408
Erosion hazard,409
Calcareous Till,410
Low Suitabiility,411
High crusting potential,412
Slope limitation,413
27,414
moderately suited - Depth,415
Salinity (EC) >8mmhos in 0-24 inches,416
well suited - EC,417
Slope gradient,418
High strength,419
SIC >25-50 kg/m2,420
Depth to thick cemented pan,421
70,422
Very low penetration,423
Not limited,424
Depth to Water Table,425
"Provisionally Suitable - Fragic 24-30""",426
Excessive fines,427
Soil structure,428
Not rated - pH,429
"Somewhat suited, external factors",430
Rutting hazard in summer,431
Grade 3 - Fair,432
Slip potential,433
Frequent ponding,434
Aluminum Saturation (Somewhat Limited),435
Not Sensitive,436
Moderately high sequestration potential,437
Moderate moisture deficit,438
Gravel,439
Fair surface texture,440
Limitations,441
Excessively coarse substratum,442
Very low,443
Low amount of clay,444
IISr,445
Long flooding,446
Severe,447
"FSG-NP(W)-009-Clayey, Saline",448
Resrticted - Dysic,449
"< 10"" to Bedrock (Hard or Soft)",450
Flooding,451
Bulk density limiting,452
"Not rated, Ksat too fast 12-36""",453
Gains bioavailable material,454
Convergent Slope,455
Minimal surface texture,456
Very shallow,457
M,458
"Pergelic, turf hummocks microfeature",459
Hard to pack,460
Low CEC/ECEC,461
Rare or occasional flooding,462
"Available water capacity: <4""",463
IIHc,464
Water table is 21 to 45 cm,465
SIC >50-75 kg/m2,466
Wind erosion hazard,467
140,468
Thick layer,469
Low penetration,470
High gypsum content,471
High water table,472
Not rated; Fragments >75,473
Texture/slope/rock fragments,474
Low resistance for surface structure size,475
Dense layer,476
Slightly Gravelly Sand Subgroup,477
115,478
Excess coarse fragments,479
Well structured,480
Somewhat limiting rooting depth (sand and gravel),481
Moderately - droughty,482
Surface shape concentrates salts,483
Organic matter content high,484
Moderately structured,485
"Not Rated, Slope",486
WCU: Wet clayey upland,487
Moderate depth to bedrock,488
"FSG-NP(W)-021-Loamy, Dry-Saline",489
Horizon table contains no data,490
Year round,491
Slopes > 15%,492
well suited - OM,493
1:5 EC populated,494
"Not rated, null slope",495
Most limited,496
Sedimentation,497
Moderately well suited,498
Not rated; Surface clay percent,499
Not Rated; Clay percent or Organic matter,500
74,501
"Not rated, fragments <48 inches",502
Water percolation,503
Not suited - vertisols,504
A-5,505
"~bedrock <20""",506
"FSG-NP(W)-013-Deep Subirr, Loamy",507
Limestone parent material,508
Highly suited,509
Slope 12 - 15 %,510
Massive and silt loam or finer,511
Carbonate content of surface,512
Moderate exchangeable sodium,513
Gypsum is more than 5 pecent  in 10 to 20-inch depth,514
Loamy sands in 0 to 30-inches depth,515
Good source,516
Major Land Resource Area,517
Moderate pH limitation within 30 cm,518
Fine Unconsolidated Subclass,519
Not suited: Low precipitation,520
"Potential slow percolation 36-60""",521
Soil has a moderately high ecec/cec 4.0 - 5.0 meq/100 g,522
LyP: Loamy pan,523
Intake family 4.0,524
Moderately suited for seeding,525
"Water table at the surface, months",526
Well suited,527
"Slow percolation >10""",528
Moderately drought vulnerable,529
moderately suited - Slope,530
Soil depth from 20 to 40 inches,531
High content of gravel,532
Suitable - Weighted clay >45%,533
Soil has a moderate permeability 30.0 - 40.0 um/sec,534
Salt content,535
High exchangeable sodium,536
1 to 6 months with long or very long ponding duration,537
Sightly  limited,538
Stoniness,539
Soil has a moderately deep to deep water table 75 to 100 cm,540
18,541
Soil pH,542
Soil pH poorly suited,543
Not rated - Electrical Conductivity,544
Bioavailability low due to attenuation by carbonates or gyp,545
Gently sloping,546
Provisionally Suitable - Low,547
Flood Duration: Very long,548
"Fragments (>3"") > 25%",549
Not rated; Unified (organic),550
43,551
"Not rated, awc",552
F-1,553
CTSG 6GKK,554
Deep,555
"Fast percolation >10""",556
High resistance,557
"Depth to non-lithic bedrock 10 - <20""",558
">25 & <50% by weight, 2mm to 3 inch fragments in 0-24 inches",559
Landform: Backslope,560
well suited - AWC,561
WtP: Wet pan,562
Thin cemented pan,563
Not rated subgroup,564
No gravelly limitation,565
Not rated organic matter,566
Very low potential,567
3,568
"Rock fragments, more than 10 inches",569
Soil Has a Very Suitable Soil Depth,570
Cation exchange capacity poorly suited,571
52,572
"Depth to any bedrock 20 - <40""",573
Rock fragment content somewhat suited,574
Restricted permeability,575
Somewhat Limiting,576
unsuited - Surface fragments,577
Area reclaim difficult,578
Limited rooting depth (fragipan),579
"YES, NP(W)FSG-021 Loamy, Dry-Saline",580
Provisionally Suitable - Slope 9-15%,581
"Not rated, soil moisture",582
Depth to bedrock,583
Limited rooting depth (bedrock),584
Not rated - Slope,585
High resistance to dust propagation,586
well suited - Fragments in Top Layer,587
Not suited - bedrock or cementation,588
Not restricted to Biomass Harvest,589
Poorly suited,590
Less than 60 frost-free days,591
Pesticide and nutrient movement,592
Low inherent productivity,593
"Depth: 48-60""",594
Frost-free period - moderately suited,595
surface fragments,596
No rock fragment limitation,597
Somewhat suitable,598
Subaqueous,599
Slope 15 to 25%,600
Depth to root-restricting layer,601
Potential surface stones,602
"YES, NP(W)FSG-015 Deep Subirr, Saline",603
-200,604
"No bedrock observed within 60""",605
Restrictive feature,606
Moderate gypsum content,607
CTSG 1SKK,608
Unsuited for crop growth,609
Drainage not required,610
Rooting depth limitation,611
Depth to permafrost,612
Moderate frost action (check lower layers),613
38,614
Rolling to strongly sloping,615
well suited - pH,616
GNS: Generally not suited,617
Ph = 5.5 to 6.5,618
Not rated; Ksat or taxonomic class,619
Saline,620
Shrink-swell (LEP >6),621
37,622
Excellent response,623
"Not rated, precip",624
Texture/slope/surface depth,625
AASHTO GI 5 to 8,626
Too level,627
CTSG 6G,628
Low content of organic matter,629
Very frequent flooding,630
Surface water vulnerability,631
"Subgelic, MAAT < 3 deg C, flood plain landform",632
65,633
Slight,634
GrO: Gravelly overflow,635
Rutting in August,636
~slope > 35%,637
CTSG 6,638
Soil Has a Somewhat Suitable Drainage and Water Table,639
0.1 to 3% surface cover fragments >=600mm (mod bouldery),640
Good surface texture,641
Summer & winter,642
Grade 4 - Poor,643
1.5,644
F-2,645
High carbonates,646
CT wetland,647
Very high potential water erosion,648
Slow permeability,649
Bulk density is more than 1.8 g/cm3 at depths of 10 to 20 inches,650
low available water capacity,651
Drought vulnerable,652
Limited soil water storage,653
"Not rated, drainage class is null",654
Profile Group,655
64,656
Unsuitable - Group V: Rock >70%,657
Not rated; Ksat or mineralogy,658
Low vegetative cover,659
"Slow percolation >12""",660
Sulfur content,661
Except Spring,662
Moderate wetness limitation,663
Silty surface layer dusty when dry and slippery when wet,664
Too clayey,665
Physical properties,666
Very Limited,667
Water Table 60 - 90 cm,668
Slope,669
Very well suited,670
"Root restriction <10""",671
18 to 36 inches to cemented pan,672
Plant water,673
Unsuitable - Rapid or Very Rapid Permeability,674
Strongly sloping,675
23,676
Resistant,677
"YES, NP(W)FSG-029 Subirr, Clayey",678
"Potential slow percolation >12""",679
Excessive percolation,680
25,681
Texture: Moderatel suited,682
"Potential fast percolation 36-60""",683
Winter only,684
Slope 0-12%; see land cover criteria,685
Drained artificial,686
Karst topography limiting,687
Provisionally Suitable - High,688
Somewhat Limited,689
Strongly contrasting textural stratification,690
Gypsum content,691
"Not rated, ksat",692
High suitability,693
Rutting in January,694
Depth to water-restricting layer,695
High penetration,696
ShU: Shallow upland,697
"Plantains, high",698
Clay content somewhat limiting,699
190,700
"Unsuitable - Bedrock 0-20""",701
Slope or eroded/gullied phase,702
WT 5 - 10 cm - Somewhat Suited,703
Not rated; Clay or minerology,704
"YES, NP(W)FSG-032 Subirr, Mod. Saline",705
Very low organic matter,706
Large stones on the surface,707
Subaerial,708
Somewhat suited seedbed properties,709
Moderate PM2.5,710
Shallow to densic,711
Low salt,712
Landscape factors,713
erosion hazard,714
11,715
WT 20 - 25 cm - Somewhat Suited,716
"Potential bedrock near 58""",717
Moderately - salinity,718
"Depth to any bedrock 40 - <60""",719
Too many fragments,720
"FSG-NP(W)-005-Clayey, Dry-Mod. Saline",721
Water movement,722
Flooding occassional,723
Suited seedbed properties,724
Surface clay >= 60%,725
Wind,726
Good,727
Low wind erosion potential,728
moderately suited - Wet Layer,729
Limited Ksat for shortleaf pine,730
Major Land Resource Area in the juniper zone,731
Low exchangeable sodium,732
Flood Freq: None/Rare,733
Rutting in September,734
Population of sagebrush,735
"Clay, silty clay, sandy clay in 0 to 30-inches depth",736
Missing slope or surface K-factor data,737
Clayey,738
Slope < 8%,739
Stickiness/slope,740
Biogenic Substrate,741
<24 inches to water table,742
Slightly limited,743
Low Potential,744
Depth to pan,745
Depth to soft bedrock,746
unsuited - OM,747
Slope > 25% too steep,748
Somewhat Suited - 1.5 to 4 ds/m salinity (too salty),749
Ksat 2.0 - 6.0 in/hr,750
"=>50% by weight, 3 to 10 inch fragments in 0-24 inches",751
Soil has a moderately slow or slower permeability < 10.0 um/sec,752
Texture Modifier (Coarse Fragments),753
Depth to bedrock is less than 10 inches,754
Low strength,755
Content of sodium,756
High susceptibility for littleleaf disease,757
Mean annual air temperature limiting,758
If protected,759
"SAR > 10 to 40"" depth",760
Well aerated,761
Ponded,762
"Not rated, rock fragments and sieves",763
"Pro Suitable - Group V: Rock 51-70%, Bedrock >60""",764
Depth to seasonal high water table,765
Somewhat water gathering,766
IIIWr,767
Thickest layer,768
Rock not limiting,769
Depth to saturated zone *,770
Low resistance,771
Medium Sand Subgroup,772
Soil Does not meet AWC Prime Farmland Criteria,773
62,774
Sandy,775
CTSG 1K,776
CTSG 9L,777
"YES, NP(W)FSG-014 Deep Subirr, Mod. Saline",778
Unstable excavation walls,779
Occasional flooding,780
Unsuited - Flooding,781
"Suitable - Bedrock >48""",782
Not rated: plasticity,783
"Not rated, pH",784
Floods rarely,785
"Depth to lithic bedrock < 10""",786
Soil erosion,787
runoff,788
Excessively coarse horizon,789
"Moderately sandy, >5 & <20% passing the #200 sieve",790
"FSG-NP(W)-011-Deep Subirr, Clayey",791
54,792
Drains slowly,793
Dry climate,794
AWC response low,795
<30cm to water table for >= 7 months,796
165,797
"Not rated, Plasticity Index",798
SOC >25-50 kg/m2,799
Depth to high water poorly suited,800
Restricted surface percolation,801
Not rated; Partical size,802
Spring wheat,803
Not sensitive,804
Slightly Gravelly Sandy Mud Subgroup,805
Slope aspect,806
Somewhat limiting (fragments),807
"FSG-NP(W)-018-Loamy, Acid",808
Not rated; Bulk density or 200 Sieve,809
Climate,810
Exchange capacity,811
"Rock fragments, 0-12 inches",812
Organic matter content low,813
"Soil texture, 0-12 inches",814
"Subgelic, MAAT <-3 degrees C, low therm cond > 75 cm",815
"Depth to lithic bedrock 40 - < 60""",816
poorly suited - Fragments in Top Layer,817
Frigid soil temperature regime,818
Depth to paralithic bedrock,819
"FSG-NP(W)-008-Clayey, Mod. Saline",820
LEP response,821
Water erosion hazard,822
Dense lacustrine material,823
Water travel time,824
Rutting in December,825
High,826
Shrink-swell,827
Texture: Moderately suited,828
Depth to root restriction,829
31,830
"Not rated, salts",831
"FSG-NP(W)-032-Subirr, Mod. Saline",832
unsuited - Fragments in Top Layer,833
Too steep for sprinkler irrigation,834
IIIWp,835
Loss of soil structure in surface,836
No SIC or < 1 kg/m2,837
"YES, NP(W)FSG-012 Deep Subirr, Limy",838
"Potential slow percolation >10""",839
Moderate depth to fragipan,840
WCB: Wet clayey bottom,841
"Provisionally Suitable - Water Table: 24-30""",842
Drainage class,843
<36 inches to water table,844
Not rated; #10 sieve,845
Not rated; Fragments > 250mm,846
Depth and large rock fragments,847
Not Suitable,848
Rapid percolation,849
15,850
Forestland ecological site,851
Low amount of clay surface area,852
Runoff vulnerability,853
CTSG 5A,854
Not rated; Taxonomic order,855
Slightly fragile,856
unsuited - Texture,857
Sodium,858
Not Permitted - Flooding,859
Texture: Unsuited,860
33,861
"YES, NP(W)FSG-007 Clayey, Limy",862
Not rated Drainage class,863
160,864
"Not rated, subaqeous",865
Texture,866
Not Rated (thickest layer),867
Small grains,868
Unsuitable - Flooding: Frequent or V Freq,869
Seasonal soil wetness,870
"Not rated, no horizon data",871
Too saline,872
Cotton,873
No pH limiting factor,874
Very long or long frequent flooding,875
"Subgelic, MAAT <-3 degrees C, low therm over frozen water < 50 cm",876
Ksat > 0.1 to 1.0 um/sec,877
Extreme soil temperatures,878
Very limited rooting depth (sand and gravel),879
IIIHr,880
Medium PGI,881
Physical properties score,882
Frequent flooding,883
"Not rated, slope",884
Too steep for sprinkler application,885
CTSG 6DA,886
Moderately deep,887
Not rated - Organic Matter,888
somewhat limited,889
No rock outcrop,890
"Depth to non-lithic bedrock 20 - <40""",891
Moderately fragile,892
Pro Suitable - Group IVa,893
Rooting depth limitation (severe),894
E-2,895
Not suited for seeding,896
"Not rated, subaqeuous soil",897
Soil has a low ecec/cec 2.0 - 2.9  meq/100 g,898
"Bioavailability high due to low CEC, pH, or organic sorption",899
Ksat >10.0 to 100.0 um/sec,900
Stickiness; high plasticity index,901
CTSG 2A,902
poorly suited,903
Moderately low risk,904
185,905
"Not rated, Clay or pH",906
Not dusty,907
Very steep,908
Slow percolation,909
Not subirrigated,910
"Pergelic, low therm material or lo-sk >= 50 cm thick, no frequent ponding",911
Moderately suitable texture,912
Does not gain bioavailable material,913
"Frost-free days, temperature regime",914
Excess Humus,915
Suitable - Slope 0-15%,916
No SOC or < 1 kg/m2,917
Sandy Gravel Subgroup,918
Well suited for seeding,919
Groundwater contamination,920
Plant growth,921
Unfavorable drainage class,922
Surface stones or boulders,923
Texture and rock fragments,924
Slow intake rate,925
"Attenuation due to salts, sulfates, and carbonates",926
Not forestland ecological site,927
Not rated; ,928
Organic carbon response,929
Frost Free Days = <145 days,930
Bulk density-compactibility to 30cm,931
Large stones content,932
Saturation less than 18 inches,933
Limiting adsorption,934
Somewhat - surface texture,935
"Provisionally Suitable - Fragic L 30-48""",936
Not Permitted Too Steep,937
suitable pH,938
Performance limitation,939
Low adsorption,940
Stone content,941
poorly suited - Texture,942
Shallow To Bedrock,943
Occasional ponding,944
"Watertable: 12-24""",945
Not rated; Hydrologic group,946
Cracking,947
Site features,948
Flash flooding >= ocassional,949
Not rated; Area_sym or WEG,950
"FSG-NP(W)-007-Clayey, Limy",951
Moderate limitation Ksat for shortleaf pine,952
Silt+VFS,953
"=>50% by weight, 3 to 10 inch fragments in 0-36 inches",954
95,955
Saturation 18 to 24 inches,956
pH = 4.5 - 5.49 or 6.49 to 7.0,957
"Cobbles and stones are 5 to 15 percent by volume, 0-30 inches depth",958
Not rated - FFD,959
CTSG 1,960
F-6,961
Not accessbile caliche,962
Moderatley  limited,963
Not Rated; Slope,964
No limitation,965
Slightly  limited,966
Layer thickness 50-170cm,967
Sand source,968
Permeability Impacted,969
High mitigation,970
Not Rated (seepage),971
Flooding **,972
Unified class,973
Calcium carbonate,974
D-1,975
Very low available water capacity,976
Bedrock lower in the soil,977
Not Playas,978
Moderate potential,979
4,980
Moderate wind erosion potential,981
Drainage,982
Shallow to water table,983
"Root restriction 40 - <60""",984
Rutting in February,985
Medium High,986
Very poorly suited,987
Not suited - droughty,988
Moderate Potential,989
"Fast percolation 12-20""",990
Grade 6 - Nonagricultural,991
Moderate moisture supply,992
Frost-free days or elevation,993
Severely drought vulnerable,994
lateral flow,995
Steep,996
poorly suited - Wet Layer,997
CyU: Clayey upland,998
CTSG 1S,999
"Lcos, cos, s or ls in surface",1000
Old growth - no encroachment potential,1001
If perimeter drain possible,1002
Moderate inherent productivity,1003
"FSG-NP(W)-026-Sandy, Dry",1004
Frost-free days poorly suited,1005
Depth to water,1006
51,1007
Medium potential,1008
moderately suited - pH,1009
Not Limited,1010
Soil Does Not Have a Suitable Soil Depth,1011
Not rated; organic matter,1012
Slow water movement,1013
Organic matter,1014
"Not rated, frost-free days is null",1015
Not rated: unified class,1016
Moderately  - surface fragments,1017
"Wetness, flooding, ponding, drainage, erosion",1018
>15% slope,1019
Fragile,1020
Not Prime Farmland,1021
No filtering capacity limitation,1022
WT 15 - 20 cm - Somewhat Suited,1023
Not rated; SAR 0-50cm,1024
30,1025
Salinity,1026
silt/clay,1027
Low potential seasonal high water table,1028
Site and soil features,1029
Subtract deleterious characteristics,1030
Not rated; Surface fragments,1031
Sticky,1032
"Bedrock, above 72""",1033
Texture: Poorly suited,1034
"Potential bedrock near 20""",1035
Bedrock 18 to 24 inches,1036
Soil has a moderate permeability 20.0 - 30.0 um/sec,1037
Slope 20% or more,1038
Water holding capacity,1039
Not rated; Taxonomic or texture class,1040
Somewhat suited,1041
moderately suited,1042
well suited - SAR,1043
Provisionally Suitable - Slope 16-22%,1044
Depth to bedrock is 10 to 20 inches,1045
Soil has a moderate permeability 10.0 - 20.0 um/sec,1046
Intake family 0.1,1047
Extremely limited,1048
Not Rated,1049
Not rated; CEC or Clay content,1050
Excess calcium carbonate,1051
Excessive permeability,1052
Slightly drought vulnerable,1053
Rutting hazard in spring,1054
"Saturation < 24"" depth during growing season",1055
Soil Does Not Meet Prime Farmland Depth Criteria,1056
